english,hindi
What was my last time ?,मेरा last time क्या tha ?
I need to talk to Bob later ; can you remind me at 5 : 00 ?,मुझे Bob se बात करने की ज़रुरत है ; क्या एपी मुझे 5 : 00 बाझे याद दिला कृपया है ?
is the traffic heavy to the city,Kya शेहर के लिये traffic भारी है
Check with Stacy on Line,Stacy के साथ Line par check करे
any fun new years parties this month,is माहीन koi fun new साल दलों है
Ignore calls while timer is on,कॉल ko ignore करे jab timer on रहेगा
How hot is it today ?,ए जे कितनी गरमी है ?
How many alarms can I set ?,माई कितने alarm set कर sakta hoon ?
taylor swift events,टेलर swift के आयोजन
What ' s the weather for this evening ?,Is शाम के लिये मौसम कैसा है ?
Send a Message to Jesse and ask what hotel they \ u 2019 re staying in Panama City Beach next month,Jesse ko इक message karo मैं और पुचो के what hotel they \ u 2019 re प्रवास के in Panama City Beach next month
Make an alarm every Sunday at 10 pm .,हर Sunday 10 बजे ko alarm लगाय
Using the timer to find out how long this 5K race will take me,5k की daud me मुझे कितना samay लगेगा ye जान्ने के लिये timer ka use karo
what is the traffic on the 5 freeway right now,Abhi 5 freeway par traffic कैसा है
What ' s the forecast ?,forecast क्या है ?
Should I wear my rainboots ?,Kya मुझे mere बारिश के जूते पेहना चाहिए ?
Is it supposed to rain Wednesday ?,क्या बुधवार ko बारिश hone wali है ?
Send a message to Carol to bring extra flip flops to the beach tomorrow .,कल beach par extra flip फ्लॉप लेन के लिये Carol ko message भेजो
Set a wake up alarm for the next 2 weeks for 8 am,इक wake up alarm set karo for the next 2 हफ्तों for 8 am
Let me see all my reminders about the dog,dog के लिये मुझे mere सारे अनुस्मारक देखिये do
What is happening at the San Antonio Convention Center this Saturday,is शनिवार the San Antonio Convention Center me क्या होराहा है
Hows the traffic looking,Traffic कैसा दिख राहा है
How much rainfall,कितना rainfall है
Remind Emma to bring my book with her when she visits this week .,Emma ko याद दिलाये की is हफ़्ता jab wo आए तो मेरी book साथ me लाये
stream current traffic conditions to my Facebook feed,Meri Facebook feed par current traffic स्थितियाँ ka stream करेन .
Ask Lyndsie why she ' s running so late in a message .,Lyndsie se message me पुचो की why she ' s running so late .
"When is it going to start snowing in Aspen , Colorado this year","is उल्लेखनीय है कि साल Aspen , Colorado mein बर्फ गिर रही है कब शूरु होगी"
"I need to be at my meeting by 3 , will I make it ?","मुझे मेरी meeting me 3 बाजे तक पोहांचने की ज़रुरत है , क्या माई कर पौंगा ?"
Where is the accident on i 5,i 5 par accident kaha है
How is the weather going to be like at 6 pm,6 बजे ko मौसम कैसा hone वाला है
Set alarm for 10 PM .,10 बजे के लिये alarm set करेन .
Cancel my daily reminder to feed Balto and Koda .,mere daily अनुस्मारक ko cancel karo to feed Balto and Koda
Events in Napa on Sunday,Sunday ko Napa me आयोजन
Things to do in Atlanta next Friday Evening,next Friday Evening ko Atlanta me करने के लिये चीज
Create alarm for 10 minutes,10 मिनट के लिये alarm create karo
"I need to arrive at Aunt Beryl ' s no later than 10 am , so what time to I need to leave here ?",मुझे Aunt Beryl के पीए subah 10 बाजे se पहले पहुंचना है तो मुझे हाँ se कितने बाजे निकलना की ज़रुरत है ?
what is the distance from tampa to New york,टैम्पा se New York की दूरी कितनी है
Will the roads downtown be blocked off for the Veterans ' parade ?,क्या Veterans parade के लिये downtown सड़कें blocked होंगे ?
Remind me on Thursday that the vet appointment is Friday at 2 pm .,Mujhe Thursday ko याद दिलायें की vet appointment Friday 2 बजे ko है .
Delete all diner reminders for next weeks,next हफ्तों के सभी dinner अनुस्मारक delete karo
display all my alarms for this month,is महीनी के लिये mere सारी एलार्म display करे
Cancel my alarm .,मेरा alarm cancel karo
"Alexa , could you send a message to Tim .","Alexa , क्या एएपी Tim ko इक message send करसकते है ."
How it ' s looking outside at midday ?,midday ko bahar कैसा दिख राहा है ?
set timer for 45 minutes,45 मिनट के लिये timer set karo
play the latest song by Breaking Benjamin,Breaking Benjamin ka latest song बजायें
"i forgot to do my homework , remind me to do it later tonight .","माई अपना homework कर्ण भुल गया हुन , मुझे आज रात बाद me isey करने के लिये याद दिलाये ."
Change the reminder to visit our group president monthly .,reminder ko Badlein to visit our group president monthly
Add a note to my taxes reminder : don ' t forget the W 2 .,Mere करों reminder me इक note add करेन : don ' t forget the W 2 .
Will it be hot this weekend ?,क्या is weekend ko गरमी होगी ?
what ' s the weather like today,आज मौसम कैसा है
"Create alarm called ' antibiotics ' for Monday , Tuesday , Wednesday at 4 pm","एंटीबायोटिक दवाओं naam ka alarm create karo for Monday , Tuesday , Wednesday at 4 बजे"
Remind Theresa about shopping plans Friday at 2 PM .,Friday 2 बजे ko Theresa ko shopping की योजना के बारे में me याद दिलायें .
Movies playing in Sarasota on Friday,Sarasota me Friday ko चालन wali चलचित्र
Do I need to take an umbrella to work today ?,क्या मुझे ए जे काम par umbrella ले jane की ज़रुरत है ?
what was the weather report for tomorrow,Kal के लिये मौसम की report क्या थी
Is there a lot of snow still on the roads going to school ?,क्या अभि भी school जाने wali सदको par bahut बर्फ है ?
set a timer for 5 minutes,5 minute के लिये timer set करे
should I bring shorts with me later,क्या मुझे बाद me अपने साथ shorts लाना चाहिए
"If I leave work at 1130 am , what time will I get to Dayton , Oho .","Agar माई work se शुभा 11 : 30 बाजे निकल jaon , to Dayton , Oho ko माई क्या time par पाहुनचुंगा ."
Set me alarms for tomorrow at 4 and 5,कल 4 मैं और 5 बाझे mere लिये alarm लगाय
Weather for the 7th of December in London .,London me 7th December के लिये मौसम
What is the best route to work this morning to avoid traffic,traffic se बैचेन के लिये ए जे subah work के लिये सबसे अच्छा रास्ता कौन्सा है
Set an alarm to go off on Fridays at 10 am,Fridays ko subah 10 बाजे बजने के लिये alarm set करे
Is there a lot of traffic around market place mall on friday night ?,Kya शुक्रवार रात ko market place mall के आस पास ज़ियादा traffic होगी ?
Can you make a reminder for me to go to the dentist this Thursday at 4 pm ?,क्या एएपी is गुरुवार sham 4 बाजे dentist के पीए jane के लिये mere लिये इक reminder लगा कृपया है ?
what chrismtas lighting events are in my area tonight,ए जे रात mere area मेई क्या क्रिसमस lighting आयोजन है
Set up a reminder for the school open house on Monday August 6th at 6 pm,Monday August 6th ko 6 बजे ko school open house के लिये reminder set करेन
Text Thom Can you please come over here ?,Thom ko text karo Can you please come over here ?
Set timer for 1 minute,1 minute के लिये timer set करेन
Is there traffic in Houston 2 pm,क्या Houston me dopaher 2 बाजे traffic है
Weather in the south of France,south of France मेई weather
weather on 12 / 15 / 2017,12 / 15 / 2017 ka weather
How long will take to go from Miami to Key West,Miami se Key West ko जाने के लिये कितना samay लगेगा
How long will it take if I stay on the feeder road from the Comfort exit to the Spurs game ?,Comfort exit se the Spurs game तक feeder road par रेहने me मुझे कितना samay लगेगा ?
Pause station,station ko रोकें
How long will it take to get to the Farmer ' s Market if I go by streets from Santa Clarita ?,Agar माई Santa Clarita se streets se जाओं to the Farmer ' s Market पहुंचने me कितना samay लगेगा ?
Happy hours,Happy घंटे
make a playlist for 90 ' s alternative,90 ' s alternative के लिये प्लेलिस्ट बनाये
If I leave right now how long will it take me to drive to Brighton from here,agar माई अभि निकल्टा हुन तो मुझे हाँ se Brighton तक drive करके jane me कितना samay लगेगा
Set a reminder for 8 : 00 pm tonight to watch my favorite movie is airing on channel 32 .,Aaj रात 8 : 00 बाजे के लिये इक reminder set करे to watch my favorite movie is airing on channel 32 .
Answer Katherine now .,Katherine ko answer करे अभि
i want to hear drakes new album,माई ड्रेक्स ka नया album सुन्ना चाहता hoon
Will there be a thunderstorm today ?,क्या आज आँधी आयेगी ?
Set a reminder on Thursday about my dentist appointment .,मेरी dentist appointment के बारे में me Thursday ko इक reminder set करेन .
Message mom and say I made the brownies .,माँ ko message karo मैं और bolo I made the ब्राउनीज़
Set alarm for 6 am tomorrow,कल शुभा 6 बाजे के लिये alarm set करेन
Is it going to hail today ?,क्या आज ओले गिर्ने wale है ?
Set alarm for 7 am Thursday,गुरुवार subah 7 बाजे के लिये alarm set करे
Chocolate Tours in Boston,Boston मेई Chocolate Tours
LGA traffic update,एलजीए की traffic update
Remind me to buy some lettuce after work .,Mujhe काम के बाद थोडा lettuce खरीदने के लिये याद दिलायें .
Alternate routes to Temecula from here,हाँ se Temecula तक alternate मार्ग
Remove 10 minutes from the workout timer,workout timer se 10 मिनट remove कार्डो
how is the weather in france ?,फ्रांस me मौसम कैसा है ?
Save this song to my untitled playlist .,Meri untitled प्लेलिस्ट me is song ko save करेन .
cancel reminder to pick up daughter after school,school के बाद बेटी ko pick करने के reminder ko cancel करेन
set alarm after 60 minutes,60 minute बाद alarm set करे
What are the traffic conditions on Sundays in Mobile,Mobile me Sundays ko Traffic स्थितियाँ क्या है
remind me to set a one hour appt with a masseuse,मुझे masseuse के साथ one hour उपयुक्त set करने के लिये याद दिलाये
How long from here to the Dali Museum,Yaha se the Dali Museum कितनी door है
How long is the trip in train to Atlantic city on a Sunday,Sunday ko Atlantic city तक train se कितना lamba सफ़र है
is it going to be hot out,क्या बहार गरम hone वाला है ?
I need to change my wakeup alarm to a different time .,मुझे mere जागो alarm ko दुसरे time par Badalne की ज़रुरत है .
message Mum asking for Charlie ' s phone number .,Mum ko message karo Charlie ' s phone number पुचने के लिये
Set alarm for 6 am,subah 6 बाजे के लिये alarm set karo
delete last alarm,last alarm ko delete karo
What ' s the traffic like downtown KC,downtown केसी मेई traffic कैसा है
Add one hour to the timer,timer me इक घंटा add karo
Set an alarm for Monday at 5 pm,Monday 5 बजे के लिये इक alarm set करेन
Cancel alarm for 7 pm,7 बजे के लिये alarm ko cancel करेन
resuming timer please,Please timer ko फिरसे शूरु karo
Show me alarms I have set for today,Mujhe mere आज के लिये set किये हुवे एलार्म दिखाओ
How many minutes are left on the timer that ' s running ?,jo timer chal राहा है usper कितने minute बकही है ?
Show me my reminders for the week .,Is हफ़्ता के लिये मुझे mere अनुस्मारक दिखाओ .
I ' m sick so please delete tomorrow ' s reminders .,I ' m sick so please कल के reminder delete करें
pause song,song ko कोरिया गणराज्य do
How long will it take me to get to Rancho Cucamonga if I leave at 7,agar माई 7 बाझे निकल्टा hoon तो मुझे Rancho Cucamonga पहुचने मेई कितनी डीईआर लगेगी
How long until I get home,Mai घर कब तक पाहुनचुंगा
Does this road have any pot holes,क्या is सड़क me koi pot छेद है
What is the name of the street that I turn on to get to Bentleys ?,us street ka naam क्या है jissey माई Bentleys तक जटा hoon ?
Can I get to Main Street before noon with the current traffic conditions ?,क्या माई current traffic स्थितियाँ के साथ dopaher se पहले Main Street par पाहुंच sakta हुन ?
do i need an umbrella ?,Kya मुझे umbrella चाहिए ?
tell Lisa to cancel the party .,Lisa ko party cancel करने के लिये bolo .
how long will it take to get to richmond,रिचमंड तक jane के लिये कितनी डीईआर लगेगी
is taylor swift coming to town,क्या टेलर swift town मेई आने wali है
Read chats from a different status .,Different status se चैट पढ़ो
how far is the history museum from mike ' s work ?,mike के काम se the history museum कितनी door है ?
Delete all alarms for the weekend .,weekend के लिये सभी एलार्म delete कार्डो
cancel reminder to email john tonight,ए जे रात जॉन ko ईमेल करने के लिये reminder cancel करे
start a 10 minute countdown,10 minute ka उलटी गिनती शूरु करेन
Delete alarm for tomorrow at 8 am,कल subah 8 बाझे ka alarm delete करे
Is there another route around traffic,क्या traffic के आस पास koi मैं और रास्ता है
more music like this,मैं और ऐसा music
Cancel Fridays alarm,Fridays के alarm cancel कार्डो
Create an alarm for tomorrow at 4 PM .,कल sham 4 बाझे के लिये alarm लगाय
Set a good morning alarm for 8 am,शुभा 8 बाजे के लिये good morning alarm set करेन
When is the storm coming ?,तूफान कब आराहा है ?
when did it last snow in florida,फ्लोरिडा मेई आख़िरी baar बर्फ कब गिरि थी
is it shorts weather,क्या ye shorts ka मौसम है
Please create me an alarm for May 27th at 10 minutes to midnight,Please mere लिये alarm create karo for May 27th at 10 मिनट to midnight
set the timer for 15 minutes,15 मिनट के लिये timer set करेन
let anita know i will be there early for carnival,अनीता ko बताओ की माई carnival के लिये जल्दी पाहुंच जाओंगा
Set my alarm to ring every 20 minutes,हर 20 minute मेई alarm बाझे के लिये set करे
How is the Traffic from Portland to Seattle,Portland se Seattle तक traffic कैसा है
Pause playback,प्लैकबैक ko कोरिया गणराज्य do
can you clock me at 5 pm next 14th,क्या एएपी मुझे agle 14th 5 बजे ko याद दिलासाक्टे है
Whats the weather in California today ?,California me आज weather कैसा है ?
Best Broadway shows in New York,New York mein best Broadway दिखाता है
Turn off my Saturday alarm .,mere Saturday के alarm ko band karo
Send message to Tonya to ask her if she will be coming by to get the rest of her stuff,Tonya ko message send karo मैं और पुचो की if she will be coming by to get the rest of her stuff
Set a reminder to pack for Afest,Afest के लिये pack करने के लिये reminder set करेन
Beatles tribute band Philadelphia this month,Is माहीन Philadelphia me Beatles tribute band
let me know how long is my drive home,मुझे बताइये के घर के लिये मेरी drive कितनी लांबी है
Delete the alarm set for 5 am,subah 5 बाझे के लिये set alarm delete करे
Please erase all my alarms .,Please mere सभी एलार्म मिता den .
"Text mum I \ u 2019 m coming over today , love you","mum ko text karo की I \ u 2019 m coming over today , love you"
are more thunderstorms coming,क्या मैं और गरज आने वाला है
how much time is left in my run,मेरी run me कितना time बच्चा है
What is the current drive time to Apple Valley,Apple Valley तक current drive time क्या है
is the traffic bad on MoPac `,Kya मोपैक par traffic ख़राब है
How much traffic is on I - 75,I - 75 par कितना traffic है
Remind me of my dentist appointment 30 minutes before it ' s scheduled .,Mujhe मेरी dentist appointment के बारे में me schedule samay se 30 मिनट पहले याद दिलायें .
remind me to get gas in car today .,मुझे आज car me gas दलाने के लिये याद दिलाये
if i leave home at 7 what time will i get to katie ' s house,agar माई 7 बाझे घर se निकल्टा hoon तो Katie ' s house कब तक पाहुचुंगा
stop timer at ( enter specific time ),timer band karo ( specific time enter karo )
set one 10 minute time and one 40 minute timer,इक 10 minute ka timer set karo मैं और इक 40 minute ka timer .
set an alarm for 6 am,subah 6 बाजे के लिये alarm set karo
Can you delete all my alarms .,क्या एएपी mere सभी एलार्म delete करसकते है .
What ' s the forecast for the ocean ?,ocean के लिये forecast क्या है ?
Change Friday ' s alarm from 3 : 30 to 4 : 00 am,Friday के alarm ko Badlein from 3 : 30 to 4 : 00 am
What can I do tonight that doesn ' t cost a lot of money,Mai आज रात ऐसा क्या karsakta हू जिस्म bahut ज़ियादा पैसे नही ख़ार्च होंगे
Delay timer for 8 minutes,8 मिनट के लिये timer ko delay karo
Please display alarms set for Wedensday .,Wednesday के लिये set किये hue एलार्म ko \ \ ndisplay करे
Remind me to mail the phone bill on Tuesday .,Mujhe Tuesday ko phone bill mail करने के लिये याद दिलायें .
Show my last reminder from yesterday .,कल ka मेरा last reminder दिखाये
Bogota is one of the worst traffic in the World,Bogota दुनिया के सबसे ख़राब traffic me se इक है
Ask Chuck on how to fix a tire while stuck in a snowbank in the middle of nowhere,Chuck se पुचो की how to fix a tire while stuck in a snowbank in the middle of nowhere
Get directions to downtown Cincinatti without passing construction,construction pass किये बीना downtown Cincinatti के लिये दिशा-निर्देश ले
Set a recurring reminder once a month to change the water filter .,water filter ko Badalne के लिये माहीन me इक bar इक recurring reminder set karo
What time is it going to rain ?,क्या time par बारिश hone wali है ?
"What are the chances of rain in Charleston , South Carolina on August 21st","Charleston , South Carolina me August 21st ko बारिश hone के अवसरों क्या \ \ एनएचएआई"
Resume timer for 5 minutes .,5 minute के लिये timer ko resume करे
Remind me to order more toilet paper tomorrow .,कल मुझे मैं और toilet paper order करने के लिये याद दिलाये
What time will I get to Panama City Beach if I leave here at 2 a . m .,Agar माई हाँ se 2 am ko निकल जाओं to माई Panama City Beach कब तक पाहुंच जाओंगा
last song,पिचला गाना
Send a message to Patty ' s Cakes that I will not attend the July event .,Patty ' s Cakes ko message भेजो की माई July ka event attend नही करुंगा .
put together my timers,mere टाइमर इक साथ राखो
Traffic please and thank you,Please Traffic के bare me बताइये मैं और शुक्रिया
Respond reacting with a thumbs down to the first message,first message ko अंगूठे down के साथ respond करेन
Flip the chicken in 35 minutes,chicken ko 35 minute मेई flip करे
Grab the latest texts from Grandma June,June के माहीन me latest ग्रंथों ko Grandma se grab karo
Have an alarm go off on every Saturday at 12 pm,हर Saturday at 12 बजे ko alarm बजाओ
set my timer at 30 seconds,30 सेकंड par mere timer ko set करेन
alert me 10 min before to turn on the tv for my show at 10 pm,Mujhe 10 बजे ko mere show के लिये टीवी खोलना के लिये 10 min पहले alert करेन
set an alarm for noon tomorrow,कल dopaher के लिये alarm set करे
Remind me to send birthday greetings,मुझे birthday अभिवादन भेजने के लिये याद दिलाये
"What is the fastest route to Gatlinburg from Jacksonville , NC ?","Jacksonville , एनसी se Gatlinburg के लिये सबसे tez route क्या है ?"
whens the next king tut exhibit,agla king tut ka exhibit कब है
I ' d like to see my uncle Ray ' s message from Signal,माई Signal se mere uncle Ray ka message देखना चाहता hoon
skip to next song,agley song par skip करे
Which location along the Atlantic coast is warmest today,Atlantic coast के साथ कोन्सा location आज सबसे गरम है
How far is Guam from the United States,the United States se Guam कितनी door है
Add 10 minutes to my current timer .,mere current timer मेई 10 minute add करे
Delete all my alarms,mere सारी एलार्म delete करे
Community holiday parties,Community holiday दलों
remind tyler in an hour to start the dishwasher,dishwasher शूरु करने के लिये इक घंटे me टायलर ko याद दिलाये
Delete the alarm for the vet,vet के लिये alarm delete करे
remove all bridge club reminders,सभी bridge club के अनुस्मारक ko हठ den
How long is the distance from Miami to New York,Miami se New York तक की दूरी कितनी है
remind of doctors appointment tuesday at 12 pm,मंगलवार 12pm ko doctor के appointment के bare मेई याद दिलाये
Are we going to get hail today ?,Kya आज ओले पैडने wale है ?
how ' s the traffic to Sussex,Sussex ka traffic कैसा है
set reminder at 10 pm tomorrow,Kal रात 10 बाजे ka reminder set करेन
What will the weather be like at 6 pm ?,शाम 6 बाजे ko मौसम कैसा रहेगा ?
Do I have anything scheduled for next Monday ?,Kya mere पास agle Monday के लिये कुछ schedule किया हुआ है ?
how many miles from san diego to san francisco,san डिएगो se san फ्रांसिस्को तक कितने मील है
Show all alarms,सभी एलार्म दिखाओ
Did Mike message me ?,Kya Mike ne मुझे message किया है ?
HOW MANY INCHES OF SNOW SHOULD WE EXPECT ?,ह्यूम कितने इंच की बर्फ ko expect कर्ण चाहिए
How do I set a timer for 42 minutes ?,माई 42 मिनट के लिये timer कैसे set कारू ?
play a station you recommend,आपके द्वार recommend किया गया station बजाओ
should i pack a jacket for beech mountain ?,क्या मुझे beech mountain के लिये इक jacket pack करनी चाहिए ?
how is the traffic in Seaside,Seaside me traffic कैसा है
Would it be faster for me to take a bus or a taxi to the beach ?,mere लिये beach par जाने के लिये bus लेना ज़ियादा tez hoga ya taxi ?
when will it get dark tonight,Aaj रात कब अंधेरा hoga
when is hurricane season,hurricane ka season कब है
Will there be any flooding from the rain ?,Kya बारिश se koi बाढ़ आयेगी ?
Tell me the masquerade events in downtown Detroit for Thursday and Friday the 21st and 22nd of December,मुझे downtown Detroit me Thursday मैं और Friday ko 21st मैं और 22nd December ko hone wale masquerade आयोजन के बारे में me बतायें
Alert me at 6 tomorrow instead of 7 am .,मुझे कल 7 am के बजाइये 6 ko alert करे
Delete reminder to fix my car tonight .,आज रात मेरी car ko fix करने के लिये reminder हटाये
Any Holiday events for children,बाचोन के लिये koi Holiday आयोजन है
Is there a blizzard warning,क्या koi blizzard की warning है
What ' s the temperature in New Mexico ?,New Mexico me temperature क्या है ?
Is traffic heavy this evening,क्या आज शाम traffic भरी है
Make an alarm called pick up kids for Friday 3 pm,Friday ko दोपहर 3 बाजे के लिये इक pick up बच्चे के naam ka alarm बनाओ
"alexa , say thank you to Mum .","एलेक्सा , Mum ko thank you bolo"
How long will the traffic increase my drive,Traffic की वजह se मेरी drive कब तक बढेगी
What is the distance of Charlotte to Huntersville,Charlotte se Huntersville की ड्यूरी क्या है
Set scheduling reminder .,अनुसूची बनाना reminder set karo
where is there construction in Norman,Norman me construction kaha है
What are my alarms for next week ?,agle हफ़्ता के लिये mere एलार्म क्या है ?
What is the traffic like between Raleigh and Durham,Raleigh मैं और Durham के beech ka traffic कैसा है
whats the traffic looking like,traffic कैसा दिख राहा है
Show me every alarm,मुझे हर alarm दिखाओ
